Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,"Android UX Engineer, Design",User Experience & Design,"Mountain View, CA, United States","Deliver innovative, engaging prototypes using the latest in front-end technologies.
Advise, collaborate with, and synthesize feedback from UX designers and researchers.
Fulfill several project requests simultaneously while meeting tight deadlines.
Serve as a mentor for junior UX engineers and peers.","BS degree in Computer Science, related technical field or equivalent practical experience.
3 years of android application development experience.
Experience with development on mobile platforms","7 years of experience developing clean, beautiful Android applications.
Fluency in one or more of: Python/PHP/Ruby, Flash/ActionScript, Objective C or Java
Fluency in Java and Android SDK.
Excellent leadership, communication, project management, and organizational skills"
Google,"Android UX Engineer, Front End, Waze",User Experience & Design,"Tel Aviv-Yafo, Israel","Deliver innovative, engaging prototypes using the latest in mobile technologies.
Advise, collaborate with and synthesize feedback from UX designers and researchers.
Fulfill several project requests simultaneously while meeting tight deadlines.
Identify and solve UX problems on emerging technology platforms and devices.","BA/BS degree in Computer Science or equivalent practical experience.
Experience using Android SDK and Android JNI.
Experience with material design standards and principles.","Experience developing clean, valid and novel mobile applications.
Experience with vector and motion graphics including Android Animation Framework or OpenGL.
Strong visual design sense.
Expert HTML and CSS skills.
Fluency in Java and Android SDK. Knowledge of material design standards and principles, including principles of accessibility, and can build products that are accessible to users with disabilities.
Excellent leadership, communication, project management, and organizational skills."
Google,"Application Engineer, Legal",Software Engineering,"New York, NY, United States","Develop and deploy applications that support and change fundamental assumptions of how IT works.
Partner with internal teams to define and implement solutions that improve internal business processes.
Work closely with analysts to translate business requirements into technical solutions.
Build internal solutions, with custom front-ends (web, mobile) and back-end services that automate business processes. Maintain the highest levels of development practices including: technical design; solution development; systems configuration; test documentation/execution; issue identification and resolution; writing clean, modular and self-sustaining code.
Integrate third party products into internal systems while also supporting and upgrading implemented systems.","BS degree in Computer Science, or a related technical field, or equivalent practical experience.
Experience in implementing, customizing and integrating third-party applications within business organizations (Finance, Supply Chain, HR, Marketing etc).
Programming experience in Java, Spring, Hibernate, Web Services (e.g. RESTful, SOAP, etc), and JavaScript.
Experience in developing internal business applications and with business integration.","MS in Computer Science, or a related field, or 4 years of relevant work experience.
Experience with one or more Legal technology areas (e.g. Contract Management, e-Discovery, etc).
Demonstrated participation in multiple full system implementation life cycles (e.g. analysis, design, build, test, implement, support, etc).
Excellent interpersonal and communication skills; strong analytical skills and a demonstrable bias toward action."
Google,"Cloud Integration Software Engineer, Robotics Simulation, Google Cloud Platform",Software Engineering,"MÃ_nchen, Germany","Manage feature development for cloud software integration of the robotics simulation system.
Drive engineering excellence towards high-quality and highly-stable code.
Collaborate with Product and Engineering teams across geographical locations.","BA/BS in Computer Science or Robotics, or equivalent practical experience.
Experience in Java and/or Python development.
Experience in backend development and using one or more cloud platform services (AWS, Azure, GCP).","Experience writing highly optimized and efficient code.
Experience in robotics.
Experience working with Platform-as-a-Service (PaaS) products."
Google,"Firmware Engineer, Verily Life Sciences - South San Francisco",Software Engineering,"South San Francisco, CA, United States",,,
Google,Front End Software Engineer,Software Engineering,"Pittsburgh, PA, United States","Build next-generation web applications with a focus on the client side.
Redesign UI's, Implement new UI's, and pick up Java as necessary.
Engage with back-end systems.","BA/BS degree or equivalent practical experience.
1 year of work experience in software development.
Experience with server-side web frameworks such as JSP or ASP.Net.
Development experience in C, C++ or Java and experience designing modular, object-oriented JavaScript.","4 years of relevant work experience, including web application experience or skills using AJAX, HTML, CSS or JavaScript.
Programming experience in GWT.
Experience with user interface frameworks such as XUL, Flex, AJAX, and XAML.
Knowledge of user interface design."
Google,"Graphics Software Engineer, Robotics Simulation, Google Cloud Platform",Software Engineering,"MÃ_nchen, Germany","Manage feature development for graphics modeling and rendering of the robotics simulation system.
Drive engineering excellence towards high-quality and highly-stable code.
Collaborate with Product and Engineering teams across geographical locations.","BA/BS in Computer Science or Robotics, or equivalent practical experience.
Experience working with C++ development on Linux.
Experience in graphics development, working with one or more modern 3D graphics engines and/or web-based graphics libraries (Unity, Unreal, OpenGL, WebGL).","Experience writing highly optimized and efficient code.
Prior experience in robotics.
Experience shipping high-quality game titles."
Google,"High-level Synthesis Design Engineer, Consumer Hardware",Software Engineering,"Xinyi District, Taiwan","Work with multiple research and product teams at Google to plan and discover new opportunities for hardware acceleration.
Design, implement and optimize algorithms turning them into low-power custom hardware using HLS.
Develop, test, maintain and improve HLS based designs.
Develop control and test software for the HLS accelerators.","BS degree in computer science, electrical engineering, computer engineering, or equivalent experience
Experience with high-level synthesis design methodologies and tools (e.g. Vivado, Catapult or Stratus)
Experience with the digital design flow (design, verification, area/timing/power optimization)
Experience in low-level C/C++ design suitable for hardware implementations","MS/PhD degree in computer science, electrical engineering, computer engineering, or equivalent experience
Experience in breaking down high-level signal processing algorithms and turning them into real-time capable and silicon area efficient adaptations while making the necessary trade-offs between cost and quality.
Experience with FPGA prototyping
Experience in hardware bring up, drivers and application software
Experience with C/C++, Python, SystemVerilog, Verilog, Bash"
Google,"iOS Application Developer, Project Baseline, Verily Life Sciences - Mountain View",Software Engineering,"Mountain View, CA, United States",,,
Google,Software Engineer,Software Engineering,"Irvine, CA, United States","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.","BA/BS degree in Computer Science or similar technical degree, or equivalent practical experience
Software development experience in one or more general purpose programming languages.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.
Ability to speak and write in English fluently and idiomatically.","Masterâ€™s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Interest and ability to learn other coding languages as needed."
Google,Software Engineer,Software Engineering,"Pittsburgh, PA, United States","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.","BS degree in Computer Science, similar technical field of study or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.
Ability to speak and write in English fluently and idiomatically.","Masterâ€™s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Interest and ability to learn other coding languages as needed."
Google,Software Engineer,Software Engineering,"Bengaluru, India","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.","5 years of experience with systems software design.
Experience with one or more of the following areas: Server Backend Distributed and Parallel Systems, Full Stack Development (front end and backend), Scalable Enterprise Platforms and Applications, Application Security and Incident Management, Machine Learning, Information Retrieval or Natural language processing.
Experience with software development with one or more general programming languages (e.g. Java, C/C++, C#, Python, JavaScript, or Go).
Development experience with Unix/Linux.","Masterâ€™s, PhD degree, further education or equivalent practical experience in Engineering, Computer Science or other technical related field.
Ability to learn other coding languages as needed.
Demonstrated ability to share knowledge via formal mentoring, reviewing code, reviewing design documents, providing technical talks, teaching classes, or as a consultant on projects."
